SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1367.90,1383.55,1366.00,1368.55,1368.55,1372.00,208,1969,2704995.00,
500003,AEGIS LOGIS ,A ,Q,275.90,287.15,270.00,271.45,271.45,273.40,2452,144111,40203072.00,
500008,AMAR RAJA BA,A ,Q,776.00,780.00,768.50,770.80,770.80,780.85,445,11989,9254843.00,
500009,A.SARABHAI  ,ST,Q,10.55,10.65,10.01,10.01,10.01,10.20,21,5483,56279.00,
500010,HDFC        ,A ,Q,1696.00,1714.90,1694.00,1710.55,1710.55,1710.90,1193,44130,75390938.00,
500012,ANDHRA PETRO,ST,Q,52.05,53.00,50.55,51.40,52.00,52.00,75,15159,780543.00,
500013,ANSAL INFRAS,B ,Q,22.55,22.65,21.85,22.00,22.00,23.00,131,72465,1597029.00,
500014,APPLE FINANC,X ,Q,3.30,3.49,3.30,3.30,3.30,3.47,31,8759,29580.00,
500020,BOM DYEING  ,A ,Q,238.90,244.00,231.00,234.80,234.80,237.05,10790,1298478,308493333.00,
500023,ASIANHOTNR  ,B ,Q,145.05,153.50,145.05,148.50,148.50,149.90,7,710,106141.00,
500024,ASSAMCO     ,T ,Q,5.54,5.85,5.45,5.51,5.46,5.71,252,255245,1421113.00,
500027,ATUL LTD.   ,A ,Q,2540.00,2570.60,2532.50,2558.55,2565.00,2552.80,67,436,1110240.00,
500028,ATV PROJECTS,XT,Q,9.55,10.00,9.50,9.77,9.75,9.84,19,4789,46783.00,
500029,AUTOLITE(I) ,B ,Q,71.30,72.00,70.55,70.60,70.60,70.30,38,2000,142445.00,
500031,BAJAJ ELECT.,A ,Q,493.35,499.50,476.70,480.55,480.55,491.80,1128,41431,20351937.00,
500032,BAJAJHIND   ,B ,Q,14.95,15.00,14.60,14.65,14.65,14.80,473,426960,6326223.00,
500033,FORCE MOTR  ,B ,Q,3155.00,3179.00,3127.05,3135.35,3135.35,3179.55,2297,18451,58063711.00,
500034,BAJFINANCE  ,A ,Q,1708.00,1714.85,1690.90,1698.65,1698.65,1707.15,1260,2825590,4799676016.00,
500038,BALRAM.CHINI,A ,Q,153.80,153.90,147.55,148.55,148.55,154.00,928,141929,21430250.00,
500039,BANCO PROD. ,B ,Q,254.00,255.35,247.20,249.05,249.05,246.00,749,54507,13690695.00,
500040,CENTURY TEXT,A ,Q,1370.00,1393.00,1361.00,1382.35,1380.75,1367.00,1730,233242,321729858.00,
500041,BANNARI AMAN,B ,Q,2230.00,2250.00,2222.15,2222.15,2222.15,2261.50,6,35,78400.00,
500042,BASF INDIA  ,B ,Q,2012.85,2018.85,1990.60,1993.30,1990.60,1999.00,340,2881,5756974.00,
500043,BATA INDIA  ,A ,Q,736.00,738.00,715.80,717.80,717.00,735.55,1091,34834,25185296.00,
500048,BEML LTD    ,A ,Q,1586.40,1601.60,1555.00,1561.75,1562.30,1588.30,1085,27700,43687084.00,
500049,BHARAT ELECT,A ,Q,182.15,183.50,181.00,181.45,181.35,183.50,1717,108804,19822189.00,
500052,BHANSALI ENG,B ,Q,174.05,175.40,168.10,170.25,170.25,175.45,1592,223588,38321752.00,
500055,BHUSH STEEL ,B ,Q,64.75,67.20,64.60,64.85,64.85,65.95,1120,185750,12222943.00,
500058,BIHAR SPONGE,XT,Q,1.95,1.95,1.78,1.79,1.85,1.87,24,8790,15698.00,
500059,BINANI IND. ,B ,Q,97.25,97.40,95.20,95.70,97.00,96.95,267,18736,1803448.00,
500060,BIRLACABLE  ,T ,Q,63.25,65.45,62.10,63.00,62.55,63.25,94,10508,667875.00,
500067,BLUE STAR   ,B ,Q,799.00,813.50,799.00,802.60,800.00,800.75,287,1845,1483733.00,
500068,DISA INDIA  ,X ,Q,5900.00,5999.00,5900.00,5999.00,5999.00,5852.00,8,20,119030.00,
500069,BNK CAPITAL ,X ,Q,116.80,117.00,115.00,115.00,115.00,114.95,24,3220,374697.00,
500074,BPL LTD.    ,B ,Q,90.20,108.70,87.25,102.60,102.60,91.25,25594,3433756,345146460.00,
500078,CAMPH.& ALL ,X ,Q,1162.00,1184.50,1111.25,1154.35,1170.00,1169.75,69,2360,2736360.00,
500083,CENTURY EXT ,B ,Q,4.75,4.83,4.75,4.75,4.75,4.81,5,2800,13380.00,
500084,CESC LTD.   ,A ,Q,1013.00,1015.75,1001.10,1004.70,1005.00,1010.50,428,11459,11545586.00,
500085,CHAMBAL FERT,B ,Q,144.30,144.90,142.25,143.10,143.10,144.90,739,79920,11499316.00,
500086,EXIDE IND.  ,A ,Q,205.00,206.25,203.60,204.50,204.50,204.80,1400,130560,26779827.00,
500087,CIPLA LTD.  ,A ,Q,600.00,611.00,589.40,590.75,590.75,603.85,728,41545,24757042.00,
500089,DIC INDIA   ,B ,Q,492.00,496.00,489.00,489.40,489.00,498.10,12,220,107951.00,
500092,CRISIL LTD  ,A ,Q,1785.00,1785.00,1765.00,1767.80,1766.10,1779.90,211,1524,2697592.00,
500093,CGPOWER     ,A ,Q,86.30,88.05,84.85,86.60,86.50,86.35,1448,350904,30347936.00,
500096,DABUR (I)   ,A ,Q,348.90,350.50,345.00,347.90,347.15,349.00,426,33074,11489764.00,
500097,DALMIASUG   ,B ,Q,143.35,144.10,141.25,142.15,142.20,143.80,94,8341,1187361.00,
500101,ARVIND Ltd  ,A ,Q,450.00,450.00,432.10,433.35,433.20,445.65,1146,82096,36005933.00,
500102,BALARPUR IND,B ,Q,14.50,14.50,13.94,14.03,14.03,14.41,826,461378,6530956.00,
500103,BHEL        ,A ,Q,91.70,92.50,91.05,91.60,91.60,91.70,1579,362785,33339662.00,
500104,HIND.PETRO  ,A ,Q,429.50,429.50,413.10,414.70,414.70,431.90,5164,177611,74379811.00,
500106,IFCI LTD    ,A ,Q,24.25,24.25,23.40,23.45,23.55,24.00,1165,628626,14910264.00,
500108,MAHA.TELE   ,B ,Q,21.10,21.20,20.60,20.70,20.65,21.10,273,133243,2784703.00,
500109,MRPL        ,A ,Q,122.95,123.45,120.10,120.85,120.85,123.30,485,68847,8366347.00,
500110,CHENNAI PET.,A ,Q,419.30,424.30,406.25,417.10,417.10,419.05,540,29761,12473346.00,
500111,REL.CAP.    ,A ,Q,426.00,429.75,417.00,419.65,419.65,427.15,4466,508985,215907040.00,
500112,STATE BANK  ,A ,Q,317.95,320.30,314.90,318.40,318.40,318.30,6760,758409,240874838.00,
500113,STEEL AUTH. ,A ,Q,81.05,82.65,79.90,80.15,80.15,81.20,2391,940505,76383430.00,
500114,TITAN       ,A ,Q,820.55,831.00,809.45,821.25,820.00,820.55,2297,109362,90099198.00,
500116,IDBI BANK L ,A ,Q,60.00,61.30,59.70,59.90,59.90,60.60,1305,315555,19069330.00,
500117,DCW LTD.    ,T ,Q,40.20,41.00,39.35,39.70,40.00,40.80,299,118500,4748302.00,
500119,DHAMPUR SUGA,B ,Q,275.50,275.50,267.00,269.60,269.60,274.90,267,20388,5529088.00,
500120,DIAMINES&CHM,X ,Q,95.30,97.00,93.70,95.90,95.90,97.00,28,3598,343845.00,
500123,ELANTAS     ,B ,Q,2090.00,2180.00,2049.05,2130.55,2170.00,2057.95,229,1479,3136149.00,
500124,DR.REDDY'S  ,A ,Q,2306.00,2328.00,2235.90,2255.60,2255.60,2193.50,5399,120634,274423864.00,
500125,E.I.D.PAR   ,A ,Q,363.50,365.80,358.05,359.30,360.50,362.60,372,7192,2598119.00,
500126,MERCK LTD   ,B ,Q,1118.00,1155.00,1118.00,1149.30,1155.00,1129.55,162,3308,3776536.00,
500128,ELEC.CASTING,B ,Q,32.00,34.55,32.00,33.40,33.60,32.10,1501,391188,13149667.00,
500132,EMPEE SUGARS,X ,Q,4.20,4.30,4.07,4.24,4.24,4.15,22,19064,79756.00,
500133,ESAB INDIA  ,B ,Q,811.00,817.00,808.00,808.05,808.00,812.90,27,481,389349.00,
500135,ESSEL PROP  ,B ,Q,280.00,285.00,272.60,274.35,275.45,275.75,119,3030,843701.00,
500136,ESTER INDUS.,B ,Q,37.80,38.00,37.15,37.45,37.45,37.60,213,14281,537322.00,
500139,FEDDERELEC  ,B ,Q,74.85,75.95,73.65,74.25,74.25,74.90,281,29985,2240454.00,
500141,FERRO ALLOYS,ST,Q,13.85,13.85,13.15,13.15,13.15,13.80,159,84717,1125185.00,
500142,FGP LTD.    ,XT,Q,1.53,1.54,1.53,1.54,1.54,1.54,2,1100,1684.00,
500144,FINOL. CABLE,A ,Q,668.95,721.00,665.15,688.65,681.00,663.80,1740,42221,29639402.00,
500147,CMI FPE     ,X ,Q,990.00,1000.00,975.00,980.55,980.40,995.00,40,1046,1038195.00,
500148,UFLEX LTD   ,B ,Q,476.70,476.70,462.35,465.25,465.25,472.10,858,31351,14739076.00,
500150,FOSECO INDIA,B ,Q,1485.00,1505.00,1485.00,1500.25,1505.00,1471.50,10,281,419623.00,
500153,GANESH BENZO,X ,Q,99.15,100.00,96.00,97.80,97.80,99.50,548,73079,7156115.00,
500155,GARDEN SILK ,B ,Q,37.95,38.25,37.10,37.25,37.25,37.80,251,21124,793378.00,
500159,METROGLOBL  ,X ,Q,81.35,85.90,80.50,84.25,83.10,82.35,48,3385,279051.00,
500160,GTL LTD.    ,B ,Q,14.50,14.60,14.35,14.35,14.40,14.60,44,11925,172261.00,
