Indicator Code|Indicator Name|Statement|Frequency
BVSH|Book Value Per Share (Unadjusted for splits/rights/bonus)|Balance Sheet|Annual
CWIP|Capital Work in Progress|Balance Sheet|Annual
NBLOCK|Net Block|Balance Sheet|Annual
RSRV|Reserves|Balance Sheet|Annual
EQCAP|Shareholders Equity|Balance Sheet|Annual
WC|Working Capital|Balance Sheet|Annual
CEPS|Cash Earning Per Share (Unadjusted for splits/rights/bonus)|Cashflow|Annual
CFA|Cash from Financing Activity|Cashflow|Annual
CFI|Cash from Investing Activity|Cashflow|Annual
CFO|Cash from Operating Activity|Cashflow|Annual
NCF|Net Cash Flow|Cashflow|Annual
MCAP|Market Capitalization|Risk, Pricing and Valuation|Annual/Quarterly
BSEVOL|BSE Trade Volume|Risk, Pricing and Valuation|Annual/Quarterly
BSEC|Unadjusted BSE Close Price|Risk, Pricing and Valuation|Annual/Quarterly
BSEH|Unadjusted BSE High Price|Risk, Pricing and Valuation|Annual/Quarterly
BSEL|Unadjusted BSE Low Price|Risk, Pricing and Valuation|Annual/Quarterly
BSEO|Unadjusted BSE Open Price|Risk, Pricing and Valuation|Annual/Quarterly
CAPRATIO|Capitalization Ratio|Solvency and Fundamentals|Annual
IC|Interest Coverage|Solvency and Fundamentals|Annual
DEBTEBIDT|Long Term Debt to EBIDTA|Solvency and Fundamentals|Annual
LTDE|Long Term Debt to Equity (Net Worth)|Solvency and Fundamentals|Annual
SOLRATIO|Solvency Ratio|Solvency and Fundamentals|Annual
EPS1|1 Year CAGR Growth in Diluted Earnings Per Share (Adjusted for splits/rights/bonus)|Income Statement|Annual
DIV1|1 Year CAGR Growth in Dividends|Income Statement|Annual
EBIDT1|1 Year CAGR Growth in EBIDTA|Income Statement|Annual
NI1|1 Year CAGR Growth in Net Income|Income Statement|Annual
OPCF1|1 Year CAGR Growth in Operating Cashflow|Income Statement|Annual
REV1|1 Year CAGR Growth in Revenue|Income Statement|Annual
EPS2|3 Year CAGR Growth in Diluted Earnings Per Share (Adjusted for splits/rights/bonus)|Income Statement|Annual
DIV3|3 Year CAGR Growth in Dividends|Income Statement|Annual
EBIDT3|3 Year CAGR Growth in EBIDTA|Income Statement|Annual
NI3|3 Year CAGR Growth in Net Income|Income Statement|Annual
OPCF3|3 Year CAGR Growth in Operating Cashflow|Cashflow|Annual
REV3|3 Year CAGR Growth in Revenue|Income Statement|Annual
EBITAVG|5 Year Average EBIDTA|Median Metrics|Annual
EPS5|5 Year CAGR Growth in Diluted Earnings Per Share (Adjusted for splits/rights/bonus)|Income Statement|Annual
DIV5|5 Year CAGR Growth in Dividends|Income Statement|Annual
EBIDT5|5 Year CAGR Growth in EBIDTA|Income Statement|Annual
NI5|5 Year CAGR Growth in Net Income|Income Statement|Annual
OPCF5|5 Year CAGR Growth in Operating Cashflow|Cashflow|Annual
REV5|5 Year CAGR Growth in Revenue|Income Statement|Annual
ETR|Corporate Tax Rate|Income Statement|Annual/Quarterly
DEP|Depreciation Expense|Income Statement|Annual/Quarterly
DIVSH|Dividend Per Share (Unadjusted for splits/rights/bonus)|Income Statement|Annual/Quarterly
EBIDT|Earning Before Interest, Depreciation & Taxes (EBIDTA)|Income Statement|Annual/Quarterly
EPS|Earnings per Diluted Share (Unadjusted for splits/rights/bonus)|Income Statement|Annual/Quarterly
EBIDTSH|EBIDTA Per Share (Unadjusted for splits/rights/bonus)|Income Statement|Annual/Quarterly
TAX|Income Tax Expense|Income Statement|Annual/Quarterly
INT|Interest|Income Statement|Annual/Quarterly
NP|Net Income|Income Statement|Annual/Quarterly
SHARE|Number of Outstanding Shares (Unadjusted for splits/rights/bonus)|Income Statement|Annual/Quarterly
OP|Operating Profit|Income Statement|Annual/Quarterly
OI|Other Income|Income Statement|Annual/Quarterly
PBT|Profit Before Tax|Income Statement|Annual
SR|Revenue|Income Statement|Annual/Quarterly
REVSH|Revenue Per Share (Unadjusted for splits/rights/bonus)|Income Statement|Annual/Quarterly
DIV|Total Annual Dividends|Income Statement|Annual/Quarterly
